Run Number, Run Name, Image Name, Scale Factor, Base Seed, Replicate Seed, Max Degree of Parallelism, Number of Workers, Number of Tries, Number of Trials, Screenshot Number, Propagate Time, Search Time
7, parallel-main, Skyline,1,1000,271829958,1,1,10,10,0, 00:00:05.2927139, 00:00:12.0655393
7, parallel-main, Flowers,1,1000,271829958,1,1,10,10,0, 00:00:03.7434641, 00:00:06.6092852
7, parallel-main, Platformer,1,1000,271829958,1,1,10,10,0, 00:00:02.7305701, 00:00:06.5569755
7, sequential-main, Skyline,1,1000,271829958,1,1,10,10,0, 00:00:05.2888018, 00:00:12.0811922
7, sequential-main, Flowers,1,1000,271829958,1,1,10,10,0, 00:00:03.7442815, 00:00:06.6473788
7, sequential-main, Platformer,1,1000,271829958,1,1,10,10,0, 00:00:02.7249507, 00:00:06.5340011
8, parallel-propagate, Skyline,1,1000,1490890881,8,1,10,10,0, 00:00:05.3091463, 00:00:12.0507937
8, parallel-propagate, Flowers,1,1000,1490890881,8,1,10,10,0, 00:00:03.3131020, 00:00:05.6750499
8, parallel-propagate, Platformer,1,1000,1490890881,8,1,10,10,0, 00:00:02.7939194, 00:00:07.0202518
8, parallel-main, Skyline,1,1000,1490890881,1,8,10,10,0, 00:00:07.3449633, 00:00:18.6900039
8, parallel-main, Flowers,1,1000,1490890881,1,8,10,10,0, 00:00:03.4972116, 00:00:05.0692825
8, parallel-main, Platformer,1,1000,1490890881,1,8,10,10,0, 00:00:04.0034298, 00:00:10.6147377
8, parallel-propagate, Skyline,1,1000,1490890881,4,1,10,10,0, 00:00:05.9125258, 00:00:13.9374980
8, parallel-propagate, Flowers,1,1000,1490890881,4,1,10,10,0, 00:00:03.3221008, 00:00:05.6633854
8, parallel-propagate, Platformer,1,1000,1490890881,4,1,10,10,0, 00:00:02.6920007, 00:00:06.9313861
8, parallel-main, Skyline,1,1000,1490890881,1,4,10,10,0, 00:00:05.1690964, 00:00:12.5744726
8, parallel-main, Flowers,1,1000,1490890881,1,4,10,10,0, 00:00:04.0108304, 00:00:07.2114331
8, parallel-main, Platformer,1,1000,1490890881,1,4,10,10,0, 00:00:02.5733137, 00:00:05.9939034
8, parallel-propagate, Skyline,1,1000,1490890881,2,1,10,10,0, 00:00:05.2579179, 00:00:12.3103905
8, parallel-propagate, Flowers,1,1000,1490890881,2,1,10,10,0, 00:00:03.2934691, 00:00:05.6537976
8, parallel-propagate, Platformer,1,1000,1490890881,2,1,10,10,0, 00:00:02.7931891, 00:00:07.0471629
8, parallel-main, Skyline,1,1000,1490890881,1,2,10,10,0, 00:00:04.8155122, 00:00:11.2567943
8, parallel-main, Flowers,1,1000,1490890881,1,2,10,10,0, 00:00:03.4466393, 00:00:05.9808366
8, parallel-main, Platformer,1,1000,1490890881,1,2,10,10,0, 00:00:02.5327193, 00:00:06.3847302
8, parallel-propagate, Skyline,1,1000,1490890881,1,1,10,10,0, 00:00:05.5043050, 00:00:12.3061107
8, parallel-propagate, Flowers,1,1000,1490890881,1,1,10,10,0, 00:00:03.2825898, 00:00:05.6389099
8, parallel-propagate, Platformer,1,1000,1490890881,1,1,10,10,0, 00:00:02.7944972, 00:00:07.0300713
8, parallel-main, Skyline,1,1000,1490890881,1,1,10,10,0, 00:00:05.3404327, 00:00:12.1184937
8, parallel-main, Flowers,1,1000,1490890881,1,1,10,10,0, 00:00:03.2933670, 00:00:05.6342495
8, parallel-main, Platformer,1,1000,1490890881,1,1,10,10,0, 00:00:02.7783840, 00:00:06.9756586
8, sequential-main, Skyline,1,1000,1490890881,1,1,10,10,0, 00:00:05.2873915, 00:00:12.0392104
8, sequential-main, Flowers,1,1000,1490890881,1,1,10,10,0, 00:00:03.2825709, 00:00:05.6309758
8, sequential-main, Platformer,1,1000,1490890881,1,1,10,10,0, 00:00:02.7849073, 00:00:07.0327977
